@relation featureTrainingNewDataSet3

@attribute pos_count {1.0,3.0,0.0,2.0,4.0,5.0,6.0,pos_count}
@attribute neg_count {0.0,1.0,2.0,4.0,3.0,neg_count}
@attribute pos_emo {0.0,2.0,1.0,3.0,4.0,pos_emo}
@attribute neg_emo {0.0,2.0,1.0,neg_emo}
@attribute len_score {0.0,len_score}
@attribute sentiment {4.0,2.0,0.0,sentiment}

@data
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,2.0,0.0,0.0,0.0,2.0
0.0,2.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,2.0,0.0,0.0,4.0
2.0,0.0,2.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,2.0,0.0,0.0,0.0,2.0
0.0,2.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
pos_count,neg_count,pos_emo,neg_emo,len_score,sentiment
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,2.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,2.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,2.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,2.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0,0.0,4.0
0.0,0.0,1.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,2.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,2.0,0.0,0.0,0.0,4.0
5.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
4.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,2.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
5.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,2.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,2.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
5.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,2.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,1.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,3.0,0.0,0.0,4.0
0.0,1.0,2.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,2.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,2.0
4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,1.0,0.0,0.0,0.0,4.0
1.0,1.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,4.0
